Line in Master,Company,Industry,Code,Metrics,Reported,Quantitative,MonetaryLoss
10.0,AdvanSix Inc,CHEMICALS,RT-CH-110a.1,"Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations",1,1.0,
10.0,AdvanSix Inc,CHEMICALS,RT-CH-110a.2,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets",1,0.0,
10.0,AdvanSix Inc,CHEMICALS,RT-CH-120a.1,"Air emissions of the following pollutants: (1) NOX (excluding N2O), (2) SOX, (3) volatile organic compounds (VOCs), and (4) hazardous air pollutants (HAPs)",1,0.0,
10.0,AdvanSix Inc,CHEMICALS,RT-CH-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable, (4) total self-generated energy",1,1.0,
10.0,AdvanSix Inc,CHEMICALS,RT-CH-140a.1,"(1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",1,1.0,
10.0,AdvanSix Inc,CHEMICALS,RT-CH-140a.2,"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",0,1.0,
10.0,AdvanSix Inc,CHEMICALS,RT-CH-140a.3,Description of water management risks and discussion of strategies and practices to mitigate those risks,0,0.0,
10.0,AdvanSix Inc,CHEMICALS,RT-CH-150a.1,"Amount of hazardous waste generated, percentage recycled",1,1.0,
10.0,AdvanSix Inc,CHEMICALS,RT-CH-210a.1,Discussion of engagement processes to manage risks and opportunities associated with community interests,1,0.0,
10.0,AdvanSix Inc,CHEMICALS,RT-CH-320a.1,(1) Total recordable incident rate (TRIR) and (2) fatality rate for (a) direct employees and (b) contract employees,1,1.0,
10.0,AdvanSix Inc,CHEMICALS,RT-CH-320a.2,"Description of efforts to assess, monitor, and reduce exposure of employees and contract workers to long-term (chronic) health risks",1,1.0,
10.0,AdvanSix Inc,CHEMICALS,RT-CH-410a.1,Revenue from products designed for use-phase resource efficiency,0,1.0,
10.0,AdvanSix Inc,CHEMICALS,RT-CH-410b.1,"(1) Percentage of products that contain Globally Harmonized System of Classification and Labeling of Chemicals (GHS) Category 1 and 2 Health and Environmental Hazardous Substances, (2) percentage of such products that have undergone a hazard assessment",0,1.0,
10.0,AdvanSix Inc,CHEMICALS,RT-CH-410b.2,Discussion of strategy to (1) manage chemicals of concern and (2) develop alternatives with reduced human and/or environmental impact,1,0.0,
10.0,AdvanSix Inc,CHEMICALS,RT-CH-410c.1,Percentage of products by revenue that contain genetically modified organisms (GMOs),0,1.0,
10.0,AdvanSix Inc,CHEMICALS,RT-CH-530a.1,Discussion of corporate positions related to government regulations and/or policy proposals that address environmental and social factors affecting the industry,1,0.0,
10.0,AdvanSix Inc,CHEMICALS,RT-CH-540a.1,"Process Safety Incidents Count (PSIC), Process Safety Total Incident Rate (PSTIR), and Process Safety Incident Severity Rate (PSISR)",1,1.0,
10.0,AdvanSix Inc,CHEMICALS,RT-CH-540a.2,Number of transport incidents,0,1.0,
11.0,Aflac Inc,INSURANCE,FN-IN-270a.1,Total amount of monetary losses as a result of legal proceedings associated with marketing and communication of insurance product-related information to new and returning customers,1,1.0,1.0
11.0,Aflac Inc,INSURANCE,FN-IN-270a.2,Complaints-to-claims ratio,0,1.0,
11.0,Aflac Inc,INSURANCE,FN-IN-270a.3,Customer retention rate,0,1.0,
11.0,Aflac Inc,INSURANCE,FN-IN-270a.4,Description of approach to informing customers about products,1,0.0,
11.0,Aflac Inc,INSURANCE,FN-IN-410a.1,"Total invested assets, by industry and asset class",1,1.0,
11.0,Aflac Inc,INSURANCE,FN-IN-410a.2,"Description of approach to incorporation of environmental, social, and governance (ESG) factors in investment management processes and strategies",1,0.0,
11.0,Aflac Inc,INSURANCE,FN-IN-410b.1,Net premiums written related to energy efficiency and low carbon technology,0,1.0,
11.0,Aflac Inc,INSURANCE,FN-IN-410b.2,"Discussion of products and/or product features that incentivize health, safety, and/or environmentally responsible actions and/or behaviors",0,0.0,
11.0,Aflac Inc,INSURANCE,FN-IN-450a.1,Probable Maximum Loss (PML) of insured products from weather-related natural catastrophes,0,1.0,
11.0,Aflac Inc,INSURANCE,FN-IN-450a.2,"Total amount of monetary losses attributable to insurance payouts from (1) modeled natural catastrophes and (2) non-modeled natural catastrophes, by type of event and geographic segment (net and gross of reinsurance)",0,1.0,1.0
11.0,Aflac Inc,INSURANCE,FN-IN-450a.3,Description of approach to incorporation of environmental risks into (1) the underwriting process for individual contracts and (2) the management of firm-level risks and capital adequacy,0,0.0,
11.0,Aflac Inc,INSURANCE,FN-IN-550a.1,"Exposure to derivative instruments by category: (1) total potential exposure to non-centrally cleared derivatives, (2) total fair value of acceptable collateral posted with the Central Clearinghouse, and (3) total potential exposure to centrally cleared derivatives",0,1.0,
11.0,Aflac Inc,INSURANCE,FN-IN-550a.2,Total fair value of securities lending collateral assets,0,1.0,
