broad_topic,Freq,N_Reports,Report_Rate,Percent,Cum_Percent
Other_Quant,1157,251,0.577,28.53,28.53
Water Management,343,137,0.776,8.46,36.99
Energy Management,229,140,0.891,5.65,42.64
Product & Food Safety,228,72,0.68,5.62,48.26
Greenhouse Gas Emissions,193,100,0.855,4.76,53.02
Data Privacy & Security,188,60,0.426,4.64,57.66
Operational & Accident Safety,168,68,0.631,4.14,61.8
Workforce Health & Safety,155,110,0.819,3.82,65.62
Marketing & Selling Practices,150,52,0.52,3.7,69.32
Labor Practices & Conditions,129,43,0.512,3.18,72.5
Waste & Hazardous Materials Management,128,70,0.625,3.16,75.66
Air Emissions & Quality,122,80,0.689,3.01,78.67
Business Ethics & Transparency,119,87,0.739,2.93,81.6
Product Lifecycle Management,117,61,0.615,2.89,84.49
Supply Chain & Sourcing,110,71,0.6,2.71,87.2
Ecological Impacts,110,40,0.664,2.71,89.91
Access & Affordability,98,41,0.551,2.42,92.33
Workforce Recruitment & Development,95,42,0.621,2.34,94.67
Environmental & Social Supply Chain Impacts,76,38,0.566,1.87,96.55
Product & End-Use Efficiency,71,38,0.592,1.75,98.3
Materials & Resource Efficiency,69,30,0.58,1.7,100
