PERMNO,date,NCUSIP,TICKER,COMNAM,CUSIP,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
19283,4/1/2020,03966V10,ARNC,ARCONIC CORP,03966V10,5.8,15,6.92,6.82,6.88,15
19283,4/2/2020,03966V10,ARNC,ARCONIC CORP,03966V10,6,7.98,6.21,6.22,6.25,7.31
19283,4/3/2020,03966V10,ARNC,ARCONIC CORP,03966V10,6.33,8.1,8.06,8.05,8.06,6.61
19283,4/6/2020,03966V10,ARNC,ARCONIC CORP,03966V10,7.23,9,7.3,7.3,7.33,8.68
19283,4/7/2020,03966V10,ARNC,ARCONIC CORP,03966V10,7.2,7.58,7.3,7.29,7.3,7.5
19283,4/8/2020,03966V10,ARNC,ARCONIC CORP,03966V10,7.2,10.3,10.03,10.05,10.1,7.2
19283,4/9/2020,03966V10,ARNC,ARCONIC CORP,03966V10,10,11.14,10.79,10.81,10.84,10.87
19283,4/13/2020,03966V10,ARNC,ARCONIC CORP,03966V10,9.45,11.84,9.5,9.51,9.52,10.97
19283,4/14/2020,03966V10,ARNC,ARCONIC CORP,03966V10,9.11,10.19,9.66,9.67,9.68,10
19283,4/15/2020,03966V10,ARNC,ARCONIC CORP,03966V10,8.7,9.24,8.89,8.92,8.96,9.12
19283,4/16/2020,03966V10,ARNC,ARCONIC CORP,03966V10,8.06,9.04,8.54,8.51,8.54,8.77
19283,4/17/2020,03966V10,ARNC,ARCONIC CORP,03966V10,8.9,10.2,9.47,9.45,9.46,8.94
19283,4/20/2020,03966V10,ARNC,ARCONIC CORP,03966V10,8.6,9.97,9.76,9.76,9.78,9.01
19283,4/21/2020,03966V10,ARNC,ARCONIC CORP,03966V10,9.2701,9.86,9.31,9.31,9.32,9.49
19283,4/22/2020,03966V10,ARNC,ARCONIC CORP,03966V10,9.29,9.65,9.3,9.3,9.31,9.56
19283,4/23/2020,03966V10,ARNC,ARCONIC CORP,03966V10,8.81,9.5,8.82,8.84,8.88,9.32
19283,4/24/2020,03966V10,ARNC,ARCONIC CORP,03966V10,7.9,8.93,8.04,8.03,8.04,8.82
19283,4/27/2020,03966V10,ARNC,ARCONIC CORP,03966V10,8.1,9.41,9.15,9.15,9.16,8.1
19283,4/28/2020,03966V10,ARNC,ARCONIC CORP,03966V10,7.91,9.8,8.2,8.19,8.2,9.4
19283,4/29/2020,03966V10,ARNC,ARCONIC CORP,03966V10,8.4,8.92,8.81,8.81,8.82,8.64
19283,4/30/2020,03966V10,ARNC,ARCONIC CORP,03966V10,8.32,8.8,8.72,8.71,8.72,8.57
19283,5/1/2020,03966V10,ARNC,ARCONIC CORP,03966V10,8.32,8.69,8.55,8.56,8.57,8.4
19283,5/4/2020,03966V10,ARNC,ARCONIC CORP,03966V10,8.16,9.02,8.88,8.87,8.88,8.2
