PERMNO,date,NAMEENDT,NCUSIP,TICKER,COMNAM,CUSIP,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
19285,4/3/2020,12/31/2024,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,13.38,17,16.92,16.71,16.73,13.75
19285,4/6/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,14.85,17.15,15.44,15.4,15.42,17.06
19285,4/7/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,14.55,15.8,15.25,15.25,15.26,15.2
19285,4/8/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,13.73,15.25,14.26,14.22,14.26,14.5
19285,4/9/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,13.9,15.5,14.78,14.76,14.8,14
19285,4/13/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,13.98,14.5,13.99,13.99,14,14.5
19285,4/14/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,13.78,14.2,13.87,13.86,13.87,14
19285,4/15/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,12.94,13.655,13.36,13.36,13.37,13.53
19285,4/16/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,12.26,13.25,12.89,12.87,12.89,13.15
19285,4/17/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,12.93,13.83,13.74,13.73,13.74,13.3
19285,4/20/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,13.475,14.74,14.45,14.45,14.47,13.5
19285,4/21/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,14.18,15.25,14.69,14.7,14.71,14.22
19285,4/22/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,14.22,15.16,14.79,14.78,14.79,14.95
19285,4/23/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,14.61,15.92,15.72,15.71,15.72,14.7
19285,4/24/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,15.2901,16.67,16.25,16.24,16.25,15.6
19285,4/27/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,15.975,16.81,16.8,16.8,16.81,16.17
19285,4/28/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,16.61,17.75,17,17,17.01,16.88
19285,4/29/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,17.17,18.08,17.64,17.59,17.63,17.46
19285,4/30/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,16.985,17.84,17.71,17.75,17.76,17.22
19285,5/1/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,16.62,17.35,16.77,16.74,16.77,17.33
19285,5/4/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,15.69,16.52,16.4,16.41,16.43,16.15
19285,5/5/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,15.8404,16.76,15.97,15.97,15.98,16.68
19285,5/6/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,15.43,16.37,16.29,16.27,16.28,16
19285,5/7/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,15.88,17.04,16.41,16.41,16.44,16.21
19285,5/8/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,16.935,18.4,18.36,18.35,18.36,17.04
19285,5/11/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,18.02,18.75,18.35,18.35,18.37,18.43
19285,5/12/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,17.69,18.3998,17.8,17.8,17.81,18.39
19285,5/13/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,16.1,17.4367,16.44,16.44,16.46,17.21
19285,5/14/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,15.72,16.715,16.55,16.53,16.54,16.02
19285,5/15/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,16,16.965,16.71,16.71,16.72,16.3
19285,5/18/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,17.29,17.72,17.55,17.53,17.54,17.3
19285,5/19/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,17.15,17.92,17.77,17.75,17.77,17.44
19285,5/20/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,18.04,19.05,18.73,18.72,18.73,18.16
19285,5/21/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,18.5,19.52,19.45,19.43,19.44,18.54
19285,5/22/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,18.95,19.86,19.05,19.06,19.07,19.47
19285,5/26/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,19.34,20.6,19.51,19.5,19.51,19.61
19285,5/27/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,19.43,20.13,19.99,19.98,19.99,19.57
19285,5/28/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,19.505,20.46,19.6,19.58,19.59,20.08
19285,5/29/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,18.88,20.98,20.47,20.44,20.48,18.96
19285,6/1/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,20.55,21.95,21.82,21.8,21.82,20.55
19285,6/2/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,20.905,21.829,21.36,21.34,21.35,21.69
19285,6/3/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,21.38,22.58,22.22,22.2,22.21,21.47
19285,6/4/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,22.03,23.12,22.68,22.68,22.69,22.03
19285,6/5/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,23.38,24.4,23.56,23.52,23.55,23.54
19285,6/8/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,23.31,24.38,24.37,24.36,24.37,23.63
19285,6/9/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,23.21,23.96,23.21,23.21,23.23,23.74
19285,6/10/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,22.04,23.15,22.2,22.2,22.21,22.31
19285,6/11/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,20,21.8,21.06,21.06,21.09,20.16
19285,6/12/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,21.02,22.31,21.54,21.54,21.55,22
19285,6/15/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,20.63,22.54,21.97,21.97,21.99,20.72
19285,6/16/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,21.925,22.98,22.07,22.07,22.1,22.96
19285,6/17/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,21.08,22.3397,21.26,21.25,21.26,22.17
19285,6/18/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,21,21.8897,21.25,21.25,21.26,21
19285,6/19/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,21,21.85,21.45,21.41,21.42,21.76
19285,6/22/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,21.31,22.825,22.74,22.73,22.74,21.52
19285,6/23/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,22.32,23.24,22.39,22.39,22.4,23.12
